1
200 20100
1 1 -3552876
1 2 18760
1 3 9112
1 4 22110
1 5 21306
1 6 25192
1 7 19966
1 8 24522
1 9 1608
1 10 6566
1 11 32294
1 12 15276
1 13 15946
1 14 7236
1 15 1608
1 16 27738
1 17 25326
1 18 23450
1 19 23450
1 20 6432
1 21 17688
1 22 32964
1 23 28944
1 24 25594
1 25 7504
1 26 12462
1 27 14740
1 28 32428
1 29 31088
1 30 6566
1 31 20100
1 32 27202
1 33 22512
1 34 7236
1 35 25862
1 36 32160
1 37 29480
1 38 21306
1 39 9112
1 40 9380
1 41 6566
1 42 32830
1 43 19832
1 44 15544
1 45 9246
1 46 21842
1 47 19162
1 48 8174
1 49 11122
1 50 27336
1 51 12596
1 52 15142
1 53 24656
1 54 19698
1 55 9380
1 56 11926
1 57 18626
1 58 15678
1 59 15276
1 60 19430
1 61 15410
1 62 8844
1 63 28542
1 64 8710
1 65 20234
1 66 26666
1 67 12328
1 68 21172
1 69 22780
1 70 1742
1 71 16080
1 72 18626
1 73 12194
1 74 23584
1 75 10184
1 76 15276
1 77 10988
1 78 16482
1 79 11122
1 80 31758
1 81 10988
1 82 19296
1 83 26398
1 84 22244
1 85 28810
1 86 29480
1 87 6298
1 88 26398
1 89 25460
1 90 17554
1 91 19028
1 92 31758
1 93 22914
1 94 25728
1 95 23718
1 96 13132
1 97 19162
1 98 31088
1 99 8844
1 100 23182
1 101 13534
1 102 29212
1 103 31624
1 104 29480
1 105 16348
1 106 31624
1 107 9782
1 108 536
1 109 5092
1 110 15410
1 111 32428
1 112 5360
1 113 4422
1 114 13668
1 115 12060
1 116 536
1 117 18894
1 118 6298
1 119 18760
1 120 2546
1 121 7906
1 122 2412
1 123 18626
1 124 26800
1 125 30552
1 126 12060
1 127 4958
1 128 14338
1 129 8308
1 130 33500
1 131 29346
1 132 33634
1 133 13400
1 134 3350
1 135 17554
1 136 30150
1 137 2144
1 138 11926
1 139 9112
1 140 16750
1 141 22646
1 142 22512
1 143 19832
1 144 27604
1 145 14338
1 146 27872
1 147 23584
1 148 13936
1 149 28006
1 150 32696
1 151 9112
1 152 25192
1 153 31356
1 154 28944
1 155 23048
1 156 33366
1 157 17152
1 158 22378
1 159 10988
1 160 6164
1 161 7504
1 162 3484
1 163 15812
1 164 21440
1 165 26130
1 166 3752
1 167 6700
1 168 21842
1 169 25058
1 170 32160
1 171 10050
1 172 14472
1 173 31624
1 174 2814
1 175 670
1 176 6968
1 177 30150
1 178 6298
1 179 28274
1 180 20904
1 181 30418
1 182 26800
1 183 11658
1 184 16884
1 185 19296
1 186 3082
1 187 2278
1 188 28810
