1
16 136
1 1 -2800
1 2 400
1 3 400
1 4 320
1 5 20
1 6 20
1 7 20
1 8 20
1 9 380
1 10 380
1 11 380
1 12 220
1 13 80
1 14 60
1 15 60
1 16 40
2 2 -2800
2 3 400
2 4 320
2 5 20
2 6 20
2 7 20
2 8 20
2 9 380
2 10 380
2 11 380
2 12 220
2 13 80
2 14 60
2 15 60
2 16 40
3 3 -2800
3 4 320
3 5 20
3 6 20
3 7 20
3 8 20
3 9 380
3 10 380
3 11 380
3 12 220
3 13 80
3 14 60
3 15 60
3 16 40
4 4 -2304
4 5 16
4 6 16
4 7 16
4 8 16
4 9 304
4 10 304
4 11 304
4 12 176
4 13 64
4 14 48
4 15 48
4 16 32
5 5 -159
5 6 1
5 7 1
5 8 1
5 9 19
5 10 19
5 11 19
5 12 11
5 13 4
5 14 3
5 15 3
5 16 2
6 6 -159
6 7 1
6 8 1
6 9 19
6 10 19
6 11 19
6 12 11
6 13 4
6 14 3
6 15 3
6 16 2
7 7 -159
7 8 1
7 9 19
7 10 19
7 11 19
7 12 11
7 13 4
7 14 3
7 15 3
7 16 2
8 8 -159
8 9 19
8 10 19
8 11 19
8 12 11
8 13 4
8 14 3
8 15 3
8 16 2
9 9 -2679
9 10 361
9 11 361
9 12 209
9 13 76
9 14 57
9 15 57
9 16 38
10 10 -2679
10 11 361
10 12 209
10 13 76
10 14 57
10 15 57
10 16 38
11 11 -2679
11 12 209
11 13 76
11 14 57
11 15 57
11 16 38
12 12 -1639
12 13 44
12 14 33
12 15 33
12 16 22
13 13 -624
13 14 12
13 15 12
13 16 8
14 14 -471
14 15 9
14 16 6
15 15 -471
15 16 6
16 16 -316
