1
18 171
1 1 -3200
1 2 400
1 3 400
1 4 400
1 5 120
1 6 20
1 7 20
1 8 20
1 9 20
1 10 380
1 11 380
1 12 380
1 13 340
1 14 140
1 15 60
1 16 40
1 17 40
1 18 40
2 2 -3200
2 3 400
2 4 400
2 5 120
2 6 20
2 7 20
2 8 20
2 9 20
2 10 380
2 11 380
2 12 380
2 13 340
2 14 140
2 15 60
2 16 40
2 17 40
2 18 40
3 3 -3200
3 4 400
3 5 120
3 6 20
3 7 20
3 8 20
3 9 20
3 10 380
3 11 380
3 12 380
3 13 340
3 14 140
3 15 60
3 16 40
3 17 40
3 18 40
4 4 -3200
4 5 120
4 6 20
4 7 20
4 8 20
4 9 20
4 10 380
4 11 380
4 12 380
4 13 340
4 14 140
4 15 60
4 16 40
4 17 40
4 18 40
5 5 -1044
5 6 6
5 7 6
5 8 6
5 9 6
5 10 114
5 11 114
5 12 114
5 13 102
5 14 42
5 15 18
5 16 12
5 17 12
5 18 12
6 6 -179
6 7 1
6 8 1
6 9 1
6 10 19
6 11 19
6 12 19
6 13 17
6 14 7
6 15 3
6 16 2
6 17 2
6 18 2
7 7 -179
7 8 1
7 9 1
7 10 19
7 11 19
7 12 19
7 13 17
7 14 7
7 15 3
7 16 2
7 17 2
7 18 2
8 8 -179
8 9 1
8 10 19
8 11 19
8 12 19
8 13 17
8 14 7
8 15 3
8 16 2
8 17 2
8 18 2
9 9 -179
9 10 19
9 11 19
9 12 19
9 13 17
9 14 7
9 15 3
9 16 2
9 17 2
9 18 2
10 10 -3059
10 11 361
10 12 361
10 13 323
10 14 133
10 15 57
10 16 38
10 17 38
10 18 38
11 11 -3059
11 12 361
11 13 323
11 14 133
11 15 57
11 16 38
11 17 38
11 18 38
12 12 -3059
12 13 323
12 14 133
12 15 57
12 16 38
12 17 38
12 18 38
13 13 -2771
13 14 119
13 15 51
13 16 34
13 17 34
13 18 34
14 14 -1211
14 15 21
14 16 14
14 17 14
14 18 14
15 15 -531
15 16 6
15 17 6
15 18 6
16 16 -356
16 17 4
16 18 4
17 17 -356
17 18 4
18 18 -356
